epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,653.401,0.73119,0.96182,1,0.11377,0.0670121,0.000333211,0.000333211
2,1119.26,0.45386,0.97739,1,0.0638,0.0339901,0.000644548,0.000644548
3,1513.62,0.31201,0.97813,1,0.06873,0.000946114,0.000933886,0.000933886
4,1912.53,0.24872,0.98332,1,0.05153,0.000901,0.000901,0.000901
5,7289.78,0.21206,0.98703,1,0.03944,0.000868,0.000868,0.000868
6,20009.1,0.17618,0.99185,1,0.0259,0.000835,0.000835,0.000835
7,21053,0.16533,0.99666,1,0.01612,0.000802,0.000802,0.000802
8,21547.2,0.14647,0.99481,1,0.01822,0.000769,0.000769,0.000769
9,21974.6,0.12674,0.9911,1,0.02215,0.000736,0.000736,0.000736
10,24800.6,0.1304,0.99592,1,0.01811,0.000703,0.000703,0.000703
11,25331,0.10562,0.99148,1,0.02013,0.00067,0.00067,0.00067
12,25825.1,0.10669,0.99555,1,0.0156,0.000637,0.000637,0.000637
13,26293.5,0.09781,0.99852,1,0.00895,0.000604,0.000604,0.000604
14,26768.9,0.08668,0.99852,1,0.00596,0.000571,0.000571,0.000571
15,27259.4,0.08818,0.99666,1,0.0124,0.000538,0.000538,0.000538
16,27736.8,0.07015,0.99815,1,0.00847,0.000505,0.000505,0.000505
17,28228.4,0.06995,0.99815,1,0.0049,0.000472,0.000472,0.000472
18,28722,0.06693,0.99815,1,0.00593,0.000439,0.000439,0.000439
19,29209,0.05797,0.99963,1,0.00454,0.000406,0.000406,0.000406
20,29702.4,0.05748,0.99852,1,0.00533,0.000373,0.000373,0.000373
21,30249.8,0.05461,0.99963,1,0.00213,0.00034,0.00034,0.00034
22,30737.9,0.0567,0.99926,1,0.00259,0.000307,0.000307,0.000307
23,31233.6,0.04772,0.99963,1,0.00222,0.000274,0.000274,0.000274
24,31711.2,0.04869,0.99963,1,0.00267,0.000241,0.000241,0.000241
25,32182.3,0.04446,0.99926,1,0.00304,0.000208,0.000208,0.000208
26,32684.4,0.0409,0.99926,1,0.00469,0.000175,0.000175,0.000175
27,33213,0.04084,0.99926,1,0.00334,0.000142,0.000142,0.000142
28,33768.5,0.03689,0.99963,1,0.00275,0.000109,0.000109,0.000109
29,34330.4,0.03409,0.99963,1,0.00166,7.6e-05,7.6e-05,7.6e-05
